post_id	title	date_epoch	date_ymd	author	content	replies
0	monthly-download-speeds	1652279409.0	2022-05-11 07:30:09	Marlene Wendl	Hi,  I'm looking for monthly average mobile download speed data by country, specifcally from 2011 onwards (the earlier the better though).  So far I've only been able to find data from 2021.  Can anyone help me with that? I'd be really greatful for any advice!  Thanks in advance!	"{0: {'username': 'laurent smeets', 'response_date': 'May 20, 2022, 6:57:24 AM (12 days ago) ', 'response_content': 'I will follow this, as I am looking to do something fairly similar. The final product I am looking for a  collection of  map (either as raster or a shapefile) of a country (for example Belgium) with local average internet speeds (based on the web100 test) for different years going back to 2010 (so one map per year). The higher the spatial resolution the better, but for now I am thinking of 0.1x0.1 degree lat/lon as the resolution.  I am comfortable in geospatial analysis, but new to BigQuery. Could you help me point to a location where I can find more information on how to construct a query like this or help me create it. \ue5d3'}, 1: {'username': 'Lai Yi Ohlsen', 'response_date': 'May 20, 2022, 11:30:01 AM (11 days ago) ', 'response_content': 'H both,   Thanks for reaching out. Marlene, would you be able to share the query that\'s only sharing data for 2021?   Laurent, I these blog posts might be of use to you:  Exploring NDT Data by Geography in Baltimore City Analysis Recommendations in Context - ARC of Research pt. 1: Asking the Right Questions ARC of Research pt. 2: Exploring Data Sources Relevant to Our Questions  The first one particularly, as it describes how we annotate locations in more detail. In short, we use the IP address and annotate it using the MaxMind GeoIP database with a resolution that is much less specific than the one you\'re looking for. I\'d be happy to learn more about your work offline to better understand how we are meeting or not meeting your use case.    \ue5d3 \ue5d3 -- You received this message because you are subscribed to the Google Groups ""discuss"" group. To unsubscribe from this group and stop receiving emails from it, send an email to discuss+u...@measurementlab.net. To view this discussion on the web visit https://groups.google.com/a/measurementlab.net/d/msgid/discuss/3f4440dc-60f6-4908-96a4-e66032201f28n%40measurementlab.net.   -- Lai Yi Ohlsen Director, Measurement Lab Code for Science & Society'}}"
1	new-ookla-speedtest-app-for-ios	1652279412.0	2022-05-11 07:30:12	Dave Taht	"The latest ookla speedtest app (just for apple's ios presently), is finally tracking ""working latency"", and ""responsiveness"".  Try it!  -- FQ World Domination pending: https://blog.cerowrt.org/post/state_of_fq_codel/ Dave Täht CEO, TekLibre, LLC"	{}
2	hiccup-on-denver-pod?	1646346320.0	2022-03-03 15:25:20	Glenn Fishbine	We had some unusual results come back today from testing out of Utah through the Denver pod which were  extremely low.  By any chance is there a way to see if the pod had a hiccup today, or is there a way to see if a pod is up or down?	"{0: {'username': 'Nathan Kinkade', 'response_date': 'Mar 4, 2022, 12:10:55 PM', 'response_content': 'Hi Glenn,  Nothing is obviously wrong with the sites in Denver. There are 4 sites in Denver: den02, den04, den05, den06. Do you happen to know which of those the suspect tests are running against? If you are using the Locate Service for testing (which you probably are), then your tests should be running to one of those sites somewhat randomly.  Each site has 3 production machines: mlab1, mlab2, mlab3. If you are testing from a browser, then you should be able to determine which site and machine is being tested against by looking at either the javascript console, or by looking at network connections.  At a glance, everything at the Denver sites is healthy and average throughput on the switches is very far below each site\'s capacity. Over the past 6 hours I\'m only seeing roughly 200-300Mbit/s on the interfaces, and these sites are all connected on 10Gbit/s uplinks.  Do you have any additional details that might help us troubleshoot?  Thanks,  Nathan  On Thu, Mar 3, 2022 at 3:25 PM Glenn Fishbine <glen...@gmail.com> wrote: We had some unusual results come back today from testing out of Utah through the Denver pod which were  extremely low.  By any chance is there a way to see if the pod had a hiccup today, or is there a way to see if a pod is up or down? -- You received this message because you are subscribed to the Google Groups ""discuss"" group. To unsubscribe from this group and stop receiving emails from it, send an email to discuss+u...@measurementlab.net. To view this discussion on the web visit https://groups.google.com/a/measurementlab.net/d/msgid/discuss/177dde82-5e22-4566-a3e0-21f3b160b92an%40measurementlab.net.'}, 1: {'username': 'Glenn Fishbine', 'response_date': 'Mar 4, 2022, 2:18:50 PM', 'response_content': ""I'm not sure if there was an issue.  Yesterday morning we got multiple reports of 1 gig circuits providing 1 meg download speeds.  The problem seemed to go away by afternoon.  The problems all originated from a particular ISP, Emery, so it may have been on their side. \ue5d3""}, 2: {'username': 'Glenn Fishbine', 'response_date': 'May 3, 2022, 6:36:40 AM', 'response_content': ""I'm getting new reports about low performance out of the Denver pod.  By example, two consecutive tests showed latency of 21 and 42 ms, and the test results dropped by 50% naturally with the 42 ms.  The raw circuit speed was about 200mbps and the mlab tests came in at around 20.  Unfortunately the reports are coming from folks who can't identify which of the 4 servers was involved.  This seems to be a consistent problem where testing is occurring in Utah.  I'm going to try to get traceroutes to see if the problem can be narrowed down to one of the hops or not, but if you could please take a look again at the status on the servers, I'd appreciate it.  By comparison, tests done on the Chicago pod are never questioned by our users.  Is there an easy way to force angular-route.js to return only the Denver route so I can build up a library of tests that may or may not indicate anything?  \ue5d3""}, 3: {'username': 'Lai Yi Ohlsen', 'response_date': 'May 3, 2022, 6:38:26 AM', 'response_content': ""Hi Glenn,   Thanks for reporting. The M-Lab team will be at our annual planning meeting for the next 3 days, but we'll respond asap.   \ue5d3 \ue5d3 To view this discussion on the web visit https://groups.google.com/a/measurementlab.net/d/msgid/discuss/de1dad19-5bce-4d88-b4e9-9ac71d88e5f9n%40measurementlab.net.   -- Lai Yi Ohlsen Director, Measurement Lab Code for Science & Society""}, 4: {'username': 'Nathan Kinkade', 'response_date': 'May 6, 2022, 11:00:30 AM', 'response_content': 'Hi Glenn,  There are actually 4 ""pods"" (i.e., M-Lab sites) in Denver. Each site has 3 production machines (total of 12 production machines in Denver). The sites are as follows:  den02: Lumen (Level3) den04: Zayo den05: Telia den06: GTT  I would be very surprised to find out that, for any given client, performance would differ between any of the machines at a given site. It would not surprise me, however, if performance differed (possibly substantially) between any of the sites. My best guess would be poor peering between the client\'s ISP and one of the transit providers we use in Denver.  The first step will be to find out to which of those providers the users are seeing very poor performance. Once you\'ve found the problematic transit provider on the M-Lab side, the next step would be to have the client run some traceroutes to one of the machines at the impacted M-Lab site. If it does indeed turn out that the issue is poor peering, then someone could perhaps reach out to the ISP to let them know of the issue, and to see if there anything the ISP can do about. For small ISPs, there may not be much they can do, likely because of a monetary constraint.  For an ndt7 test, there is no easy way to force the test to a particular server. For ndt5, someone could run a client locally, and specify the exact server. For now, you could perhaps have any user reporting these disparities run traceroutes to one machine at each M-Lab site in Denver, looking for any that might have a suboptimal or long path. For example, to these hosts:  mlab1-den02.mlab-oti.measurementlab.net mlab1-den04.mlab-oti.measurementlab.net mlab1-den05.mlab-oti.measurementlab.net mlab1-den06.mlab-oti.measurementlab.net  Thanks,  Nathan  \ue5d3'}}"
3	itu-standards	1651251685.0	2022-04-29 10:01:25	Bobby Wilson	Hi there,  I am working with a group that is interested in using M-Lab for monitoring the performance of various ISPs.  A requirement of the project is the use of a tool that follows or is based on the International Telecommunication Union standards.  From what I've found so far, M-Lab has been involved with ITU but I can't find anything specifically mentioning that it follows or is based on ITU standards.  Can anyone help provide more information and links on this topic?  Thank you!	"{0: {'username': 'Lai Yi Ohlsen', 'response_date': 'May 2, 2022, 12:53:26 PM', 'response_content': 'Hi Bobby,   Our involvement might have predated my time at M-Lab (mid 2019). I\'ll ask around and get back to you - thanks.   \ue5d3 \ue5d3 -- You received this message because you are subscribed to the Google Groups ""discuss"" group. To unsubscribe from this group and stop receiving emails from it, send an email to discuss+u...@measurementlab.net. To view this discussion on the web visit https://groups.google.com/a/measurementlab.net/d/msgid/discuss/8f5312c9-673f-4361-97c0-8851645ba682n%40measurementlab.net.   -- Lai Yi Ohlsen Director, Measurement Lab Code for Science & Society'}}"
4	"ndt7-client-go-client-""-server""-option-error"	1651072366.0	2022-04-27 08:12:46	frog...@gmail.com	Hi, It looks like the -server option in ndt7-client-go is not working. I can run the test using default setting. ~/godir/src/ndt7-client-go/cmd/ndt7-client$ go run main.go download in progress with ndt-mlab3-dfw02.mlab-oti.measurement-lab.org Avg. speed  :   463.9 Mbit/s download: complete upload in progress with ndt-mlab3-dfw02.mlab-oti.measurement-lab.org Avg. speed  :   194.7 Mbit/s upload: complete          Server: ndt-mlab3-dfw02.mlab-oti.measurement-lab.org          Client: 2001:48d0:101:501:da9e:f3ff:fe86:e62d         Latency:    46.0 ms        Download:   463.9 Mbit/s          Upload:   194.7 Mbit/s  Retransmission:    0.15 %   However, I got handshake errors when I try to run NDT again using the same server. ~/godir/src/ndt7-client-go/cmd/ndt7-client$ go run main.go -server=ndt-mlab3-dfw02.mlab-oti.measurement-lab.org download failed: websocket: bad handshake  download: complete upload failed: websocket: bad handshake  upload: complete exit status 2  What should I put into the server option?  Thank you for your help. Ricky	{}
5	decommission-of-the-v1-data-pipeline:-may-9th	1650915231.0	2022-04-25 12:33:51	Stephen Soltesz	"Starting May 9th, we will begin to decommission the v1 data pipeline.  If you only use the ndt.unified_uploads and ndt.unified_downloads views, you will experience no changes.  If you continue to use any of the ""*_legacy"" datasets, these will stop being updated with new data or being reprocessed after May 9th. This includes: ndt_raw.ndt5_legacy ndt_raw.tcpinfo_legacy ndt_raw.paris1_legacy ndt_raw.web100_legacy After May 9th, prefer the undecorated ndt5 and tcpinfo tables, which will continue to be updated daily.  We do not yet plan to delete these views or the v1 tables. So, they will remain available for reference or as a point of comparison."	{}
6	mobile-speed-test-data-for-india	1650494918.0	2022-04-20 15:48:38	Lizaveta Radzevich	Hello,  I'm looking for mobile speed test data for India (ideally in a format close to Mlab, lat/long attributed included). Is there any noteworthy sources for it except Mlab (or any way to single out the mobile test in Mlab).  Thank you! Liz	{}
7	query-keeps-giving-errors	1650464332.0	2022-04-20 07:18:52	poonam parab	"Hello   I am trying to find the latest upload and download speed data for Rhode Island.  this is the syntax I am trying to run.   SELECT * FROM   `measurement-lab.ndt.unified_downloads` WHERE    date BETWEEN ""2022-01-01"" AND ""2022-03-01""   AND client.Geo.Region = ""RI""   AND client.Geo.country_code = ""US"" GROUP BY zip_code, ASN ORDER BY zip_code, ASN  It keeps giving me an error. Can you please help me resolve this?   Thank you,  Poonam "	"{0: {'username': 'Phillipa Gill', 'response_date': 'Apr 20, 2022, 7:35:17 AM', 'response_content': 'Hi Poonam,  3 things jump out at me looking at this query: (1) We recently shifted from using client.Geo.Region for the state to using client.Geo.Subdivision1ISOCode (2) The country information is in client.Geo.CountryCode (3) zip_code and ASN are not defined in the query snippet you sent.   Hope this helps.  -Phillipa  \ue5d3 \ue5d3 -- You received this message because you are subscribed to the Google Groups ""discuss"" group. To unsubscribe from this group and stop receiving emails from it, send an email to discuss+u...@measurementlab.net. To view this discussion on the web visit https://groups.google.com/a/measurementlab.net/d/msgid/discuss/179d5e10-90b8-49a9-8c7a-863544250f75n%40measurementlab.net.'}}"
8	unconscious-physiological-effects-of-search-latency-on-users-and-their-click-behaviour	1650464341.0	2022-04-20 07:19:01	Dave Taht	"""As the response latency of the search engine reaches higher val-ues, the arousal and the negative valence of the experienced emotions increase as well. Although those effects did not produce changes on the *self-reported data*, their impact on users’ physiological responses was evident. Thus, even if such short latency increases of under 500ms are not consciously perceived, they have sizeable physiological effects.""  GOOD paper:  https://www.researchgate.net/publication/282009221_Unconscious_Physiological_Effects_of_Search_Latency_on_Users_and_Their_Click_Behaviour  3sec is the maximum pain point....    -- I tried to build a better future, a few times: https://wayforward.archive.org/?site=https%3A%2F%2Fwww.icei.org  Dave Täht CEO, TekLibre, LLC"	{}
9	migration-to-the-v2-data-pipeline	1644446126.0	2022-02-09 15:35:26	Stephen Soltesz	TL;DR - If you typically use the `measurement-lab.ndt.unified_uploads` or `measurement-lab.ndt.unified_downloads` views, then nothing will change.  In the coming days and weeks, we are updating the ndt5, switch, and tcpinfo schemas, removing obsolete views, and renaming some views in preparation for improving ease of use and documentation.  You can find more details here: https://www.measurementlab.net/blog/v2-data-pipeline-migration/  Please let us know if you have any questions, Stephen	"{0: {'username': 'Stephen Soltesz', 'response_date': 'Feb 28, 2022, 11:44:23 AM', 'response_content': 'This week and next we plan to begin making the changes outlined in the blog post.  If you have not already updated your queries, please do so now.  Specifically: removing v1 views from the ""ndt"" dataset. Use equivalents in ""ndt_raw"" dataset instead removing views from the ""library"" dataset. These are obsolete completing the migration of the ndt5 datatype to the v2 data pipeline completing the migration of the switch datatype to the v2 data pipeline We also updated the blog post for a clarifying name change to the legacy traceroute v1 views, preferring `paris1_legacy` to explicitly name the underlying datatype and reserve ""traceroute"" as a category for all such datatypes, e.g. paris1, scamper1, single-path variants, etc. \ue5d3'}, 1: {'username': 'Stephen Soltesz', 'response_date': 'Mar 2, 2022, 1:34:49 PM', 'response_content': 'Update: measurement-lab.ndt.ndt5 is publishing data processed by the v2 data pipeline, but the complete history is not yet fully reprocessed. This should be complete by March 8th.  \ue5d3'}, 2: {'username': 'Cristina Leon', 'response_date': 'Mar 25, 2022, 11:39:47 AM', 'response_content': 'In line with the migration to the v2 Data Pipeline, we will be making the following changes on Monday, April 4th.  If you have any queries using the `ndt_raw.traceroute_legacy` view, please update them now to use `ndt_raw.paris1_legacy` and `ndt_raw.scamper1`. We will delete the v1 `ndt_raw.traceroute_legacy` view. It will be replaced with the `ndt_raw.paris1_legacy` (data from the Paris Traceroute command) and the `ndt_raw.scamper1` (data from the Scamper tool) views. Please note that the ""scamper1"" view has a different schema from the legacy views.  As well, in GCS, the data from the https://console.cloud.google.com/storage/browser/archive-measurement-lab/$expriment/traceroute bucket (replace $experiment with ndt/host/neubot, accordingly) has been copied to the new https://console.cloud.google.com/storage/browser/archive-measurement-lab/$experiment/scamper1 bucket. The former bucket will be removed.  More documentation about traceroute can be found here.   Thanks, Cristina \ue5d3'}, 3: {'username': 'Stephen Soltesz', 'response_date': 'Apr 11, 2022, 12:15:30 PM', 'response_content': 'Update: We will delete the `measurement-lab.ndt.traceroute` view today. The data previously accessible there remains available from `ndt_raw.paris1_legacy` and/or `ndt_raw.scamper1`. Best, Stephen \ue5d3'}, 4: {'username': 'Cristina Leon', 'response_date': 'Apr 15, 2022, 10:28:45 AM', 'response_content': 'Update: In line with the changes described in the Data Pipeline Migration, on April 25th, we will replace the `aggregate.traceroute` view with `traceroute.scamper1` and `traceroute.paris1_legacy`. Thanks, Cristina \ue5d3'}}"
